mat_name,errorfree_iterations,tol,maxiter,error_pos,error_iter,solve_iterations,final_relres,did_converge,realtime_s,pos_2norm
cbuckle.mat,341,1e-06,34100,2377,1,343,9.683039070946701e-07,True,0.230487875,528.5716971470713
cbuckle.mat,341,1e-06,34100,2377,85,369,9.949278573888624e-07,True,0.2492505,528.5716971470713
cbuckle.mat,341,1e-06,34100,2377,170,439,9.553179394008684e-07,True,0.295475333,528.5716971470713
cbuckle.mat,341,1e-06,34100,2377,255,412,9.721352944707226e-07,True,0.276990959,528.5716971470713
cbuckle.mat,341,1e-06,34100,2377,340,340,7.545937304883369e-07,True,0.229350542,528.5716971470713
cbuckle.mat,341,1e-06,34100,4706,1,482,9.236783923591425e-07,True,0.32039175,86.78763231603749
cbuckle.mat,341,1e-06,34100,4706,85,343,9.965036946683026e-07,True,0.231058333,86.78763231603749
cbuckle.mat,341,1e-06,34100,4706,170,388,9.713399153222628e-07,True,0.260110334,86.78763231603749
cbuckle.mat,341,1e-06,34100,4706,255,374,9.610605557748102e-07,True,0.251477667,86.78763231603749
cbuckle.mat,341,1e-06,34100,4706,340,340,7.156130051161861e-07,True,0.231845709,86.78763231603749
cbuckle.mat,341,1e-06,34100,11997,1,465,9.823588083472155e-07,True,0.315893666,73.21314374717622
cbuckle.mat,341,1e-06,34100,11997,85,336,9.854568733909045e-07,True,0.242397834,73.21314374717622
cbuckle.mat,341,1e-06,34100,11997,170,365,9.90876213389782e-07,True,0.246170209,73.21314374717622
cbuckle.mat,341,1e-06,34100,11997,255,365,9.848023374985515e-07,True,0.247339625,73.21314374717622
cbuckle.mat,341,1e-06,34100,11997,340,340,7.660635619562769e-07,True,0.229001167,73.21314374717622
cbuckle.mat,341,1e-06,34100,10222,1,341,9.912079637763941e-07,True,0.236309541,376.9187457713646
cbuckle.mat,341,1e-06,34100,10222,85,500,9.609623736643997e-07,True,0.336133125,376.9187457713646
cbuckle.mat,341,1e-06,34100,10222,170,758,9.880864128922952e-07,True,0.505294167,376.9187457713646
cbuckle.mat,341,1e-06,34100,10222,255,661,9.60791617785416e-07,True,0.443574625,376.9187457713646
cbuckle.mat,341,1e-06,34100,10222,340,340,8.89805278543958e-07,True,0.229710625,376.9187457713646
cbuckle.mat,341,1e-06,34100,1238,1,394,9.80173861986928e-07,True,0.267050041,51.867327835373594
cbuckle.mat,341,1e-06,34100,1238,85,334,9.85703506880077e-07,True,0.228047291,51.867327835373594
cbuckle.mat,341,1e-06,34100,1238,170,348,9.649462463538168e-07,True,0.236856625,51.867327835373594
cbuckle.mat,341,1e-06,34100,1238,255,352,9.654816257553989e-07,True,0.23665125,51.867327835373594
cbuckle.mat,341,1e-06,34100,1238,340,340,8.815385547262332e-07,True,0.229279916,51.867327835373594
cbuckle.mat,341,1e-06,34100,5971,1,343,9.699339749237051e-07,True,0.231697833,528.5716971470698
cbuckle.mat,341,1e-06,34100,5971,85,369,9.766445729716406e-07,True,0.249148208,528.5716971470698
cbuckle.mat,341,1e-06,34100,5971,170,435,9.692096522652645e-07,True,0.292309125,528.5716971470698
cbuckle.mat,341,1e-06,34100,5971,255,413,9.707336828625746e-07,True,0.278518083,528.5716971470698
cbuckle.mat,341,1e-06,34100,5971,340,340,7.445256829949284e-07,True,0.241128792,528.5716971470698
cbuckle.mat,341,1e-06,34100,3385,1,333,9.843487819828092e-07,True,0.22453975,528.5716971470655
cbuckle.mat,341,1e-06,34100,3385,85,353,9.998694554826538e-07,True,0.238726917,528.5716971470655
cbuckle.mat,341,1e-06,34100,3385,170,431,9.887726085109497e-07,True,0.287187375,528.5716971470655
cbuckle.mat,341,1e-06,34100,3385,255,412,9.333013047350295e-07,True,0.28346425,528.5716971470655
cbuckle.mat,341,1e-06,34100,3385,340,340,7.583789147045787e-07,True,0.231762708,528.5716971470655
cbuckle.mat,341,1e-06,34100,2762,1,399,9.964454289893397e-07,True,0.2705995,98.3881381229375
cbuckle.mat,341,1e-06,34100,2762,85,349,9.95537278557398e-07,True,0.236682458,98.3881381229375
cbuckle.mat,341,1e-06,34100,2762,170,402,9.744527079393841e-07,True,0.2716995,98.3881381229375
cbuckle.mat,341,1e-06,34100,2762,255,383,9.96339056726192e-07,True,0.257029417,98.3881381229375
cbuckle.mat,341,1e-06,34100,2762,340,340,6.835814686017509e-07,True,0.228478292,98.3881381229375
cbuckle.mat,341,1e-06,34100,2159,1,1077,9.812505102809925e-07,True,0.710795917,24333.44828327313
cbuckle.mat,341,1e-06,34100,2159,85,4488,9.976890520528537e-07,True,2.977508,24333.44828327313
cbuckle.mat,341,1e-06,34100,2159,170,10447,9.978847597607032e-07,True,6.921885584,24333.44828327313
cbuckle.mat,341,1e-06,34100,2159,255,7075,9.995201317510594e-07,True,4.711669875,24333.44828327313
cbuckle.mat,341,1e-06,34100,2159,340,2625,9.96214124459053e-07,True,1.737707,24333.44828327313
cbuckle.mat,341,1e-06,34100,10849,1,350,9.524496793847259e-07,True,0.240448667,528.5716971470648
cbuckle.mat,341,1e-06,34100,10849,85,368,9.53952585477461e-07,True,0.255359333,528.5716971470648
cbuckle.mat,341,1e-06,34100,10849,170,436,9.96188610723107e-07,True,0.301075666,528.5716971470648
cbuckle.mat,341,1e-06,34100,10849,255,412,9.882518106158648e-07,True,0.275860583,528.5716971470648
cbuckle.mat,341,1e-06,34100,10849,340,340,7.598692079523076e-07,True,0.228399875,528.5716971470648
cbuckle.mat,341,1e-06,34100,4119,1,343,9.90299455022556e-07,True,0.238749042,32.250629627822065
cbuckle.mat,341,1e-06,34100,4119,85,340,9.9461693315207e-07,True,0.229413708,32.250629627822065
cbuckle.mat,341,1e-06,34100,4119,170,337,9.663609787102048e-07,True,0.227106584,32.250629627822065
cbuckle.mat,341,1e-06,34100,4119,255,343,9.671313843327257e-07,True,0.232396208,32.250629627822065
cbuckle.mat,341,1e-06,34100,4119,340,340,9.952026214809994e-07,True,0.229153208,32.250629627822065
cbuckle.mat,341,1e-06,34100,7949,1,1568,9.947310440164934e-07,True,1.040610333,36880.743344790666
cbuckle.mat,341,1e-06,34100,7949,85,9043,9.958509102006533e-07,True,5.98871925,36880.743344790666
cbuckle.mat,341,1e-06,34100,7949,170,14845,9.98399389629089e-07,True,9.811464708,36880.743344790666
cbuckle.mat,341,1e-06,34100,7949,255,14681,9.99592222126527e-07,True,9.736003208,36880.743344790666
cbuckle.mat,341,1e-06,34100,7949,340,9399,9.992012095457636e-07,True,6.217076666,36880.743344790666
cbuckle.mat,341,1e-06,34100,3721,1,342,9.903645214352015e-07,True,0.234267291,528.5716971470639
cbuckle.mat,341,1e-06,34100,3721,85,367,9.807487763786876e-07,True,0.248408,528.5716971470639
cbuckle.mat,341,1e-06,34100,3721,170,432,9.845292497783868e-07,True,0.299220833,528.5716971470639
cbuckle.mat,341,1e-06,34100,3721,255,411,9.341480923403857e-07,True,0.277930709,528.5716971470639
cbuckle.mat,341,1e-06,34100,3721,340,340,7.505598843505139e-07,True,0.230976875,528.5716971470639
cbuckle.mat,341,1e-06,34100,9384,1,1531,9.75971584096526e-07,True,1.015288791,37813.46353051646
cbuckle.mat,341,1e-06,34100,9384,85,8949,9.973128817833255e-07,True,5.910913584,37813.46353051646
cbuckle.mat,341,1e-06,34100,9384,170,34099,1.9881606553524953e-06,False,22.722783083,37813.46353051646
cbuckle.mat,341,1e-06,34100,9384,255,11977,9.99824847678238e-07,True,7.913763416,37813.46353051646
cbuckle.mat,341,1e-06,34100,9384,340,6341,9.98509220794835e-07,True,4.187735666,37813.46353051646
cbuckle.mat,341,1e-06,34100,11311,1,342,9.663332587855402e-07,True,0.232639584,528.571697147079
cbuckle.mat,341,1e-06,34100,11311,85,369,9.981113727746152e-07,True,0.252155542,528.571697147079
cbuckle.mat,341,1e-06,34100,11311,170,438,9.736870032790585e-07,True,0.2931255,528.571697147079
cbuckle.mat,341,1e-06,34100,11311,255,412,9.777013735184326e-07,True,0.277025333,528.571697147079
cbuckle.mat,341,1e-06,34100,11311,340,340,7.584053104706038e-07,True,0.227509375,528.571697147079
cbuckle.mat,341,1e-06,34100,12025,1,343,9.83434642703182e-07,True,0.232894917,528.5716971470704
cbuckle.mat,341,1e-06,34100,12025,85,370,9.752439536533422e-07,True,0.249509792,528.5716971470704
cbuckle.mat,341,1e-06,34100,12025,170,436,9.856706111534035e-07,True,0.29260625,528.5716971470704
cbuckle.mat,341,1e-06,34100,12025,255,412,9.731143725194697e-07,True,0.277235,528.5716971470704
cbuckle.mat,341,1e-06,34100,12025,340,340,7.633532427363833e-07,True,0.229619458,528.5716971470704
cbuckle.mat,341,1e-06,34100,10074,1,1221,9.937355727446893e-07,True,0.823130834,41164.520879219664
cbuckle.mat,341,1e-06,34100,10074,85,6672,9.985538240469289e-07,True,4.403902666,41164.520879219664
cbuckle.mat,341,1e-06,34100,10074,170,34099,5.995344980198057e-06,False,22.584667125,41164.520879219664
cbuckle.mat,341,1e-06,34100,10074,255,28107,9.991549341172265e-07,True,18.683773083,41164.520879219664
cbuckle.mat,341,1e-06,34100,10074,340,4470,9.969945474929522e-07,True,2.952973833,41164.520879219664
cbuckle.mat,341,1e-06,34100,4229,1,598,9.673806303130474e-07,True,0.400365042,14842.671715300192
cbuckle.mat,341,1e-06,34100,4229,85,1941,9.963578726752898e-07,True,1.3014325,14842.671715300192
cbuckle.mat,341,1e-06,34100,4229,170,5435,9.94901270676454e-07,True,3.60451525,14842.671715300192
cbuckle.mat,341,1e-06,34100,4229,255,2867,9.943779211569853e-07,True,1.927224667,14842.671715300192
